model,aspect,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Logistic Regression,chat_luong,0.8725,0.7619,0.808,0.7813,0.8802,0.8725,0.8754
Logistic Regression,dong_goi,0.8846,0.8546,0.835,0.8435,0.886,0.8846,0.8847
Logistic Regression,van_chuyen,0.9575,0.7616,0.9311,0.8058,0.9748,0.9575,0.964
Logistic Regression,gia_ca,0.9555,0.7667,0.7447,0.7552,0.954,0.9555,0.9546
Multinomial Naive Bayes,chat_luong,0.8806,0.9154,0.674,0.7031,0.886,0.8806,0.8685
Multinomial Naive Bayes,dong_goi,0.8279,0.9067,0.6566,0.723,0.8522,0.8279,0.8061
Multinomial Naive Bayes,van_chuyen,0.917,0.6101,0.5731,0.5882,0.9019,0.917,0.9068
Multinomial Naive Bayes,gia_ca,0.8887,0.6274,0.4601,0.4961,0.8795,0.8887,0.861
Linear SVM,chat_luong,0.9049,0.8207,0.7935,0.8057,0.9026,0.9049,0.9035
Linear SVM,dong_goi,0.913,0.91,0.8501,0.877,0.9123,0.913,0.9107
Linear SVM,van_chuyen,0.9696,0.8005,0.8571,0.8243,0.9729,0.9696,0.971
Linear SVM,gia_ca,0.9656,0.966,0.7192,0.7732,0.9658,0.9656,0.9608
Random Forest,chat_luong,0.8603,0.8467,0.7172,0.7542,0.8603,0.8603,0.8557
Random Forest,dong_goi,0.8623,0.8752,0.7485,0.7911,0.8634,0.8623,0.8504
Random Forest,van_chuyen,0.9676,0.9763,0.6881,0.7187,0.968,0.9676,0.9622
Random Forest,gia_ca,0.9615,0.9719,0.7098,0.7707,0.962,0.9615,0.9565
